Effective water- to-cement ratio,Aggregate-to-cement ratio (a/c),RCA replacement ratio (RCA %),Parent concrete strength(MPa),Nominal maximum RCA size(mm),Nominal maximum NA size(mm),Water absorption of RCA(WARCA) (%),Water absorption of NA,Los Angeles abrasion of RCA,Los Angeles abrasion of NA,Compressive strength (f’c) (MPa)
0.5,2.9,100.0,42.71818181818182,19.0,25.0,4.4,1.1553691275167786,36.540740740740745,25.13953488372093,25.1
0.68,3.4,100.0,42.71818181818182,20.0,20.0,7.1,1.1553691275167786,36.540740740740745,25.13953488372093,29.2
0.65,3.1,50.0,42.71818181818182,16.0,20.0,5.0,2.0,34.0,23.0,32.4
0.49,2.8,50.0,42.71818181818182,32.0,32.0,5.158959537572255,1.1553691275167786,36.540740740740745,25.13953488372093,30.6
0.5,3.0,60.0,42.71818181818182,19.0,19.0,2.7,0.3,36.540740740740745,25.13953488372093,30.4
0.84,4.5,100.0,42.71818181818182,22.0,20.0,7.6,1.1553691275167786,36.540740740740745,25.13953488372093,21.0
0.36,2.4,0.0,50.6,16.0,16.0,5.158959537572255,1.1553691275167786,36.540740740740745,25.13953488372093,48.9
0.76,4.5,100.0,42.71818181818182,30.0,32.0,5.158959537572255,1.1553691275167786,36.540740740740745,25.13953488372093,23.5
0.48,3.5,100.0,42.71818181818182,10.0,20.0,4.7,1.1553691275167786,15.1,25.13953488372093,38.6
0.54,3.0,50.0,42.71818181818182,20.0,20.0,5.3,1.8,42.0,31.0,41.0
0.51,2.5,20.0,42.71818181818182,16.0,20.0,5.0,2.5,36.540740740740745,25.13953488372093,43.7
0.7,4.1,0.0,42.71818181818182,30.0,10.0,5.158959537572255,0.5,36.540740740740745,28.0,18.1
0.47,3.3,0.0,42.71818181818182,32.0,22.0,5.158959537572255,0.3,36.540740740740745,25.13953488372093,31.2
0.48,4.1,0.0,42.71818181818182,10.0,20.0,5.158959537572255,1.5,36.540740740740745,11.9,38.9
0.54,6.4,90.0,42.71818181818182,32.0,15.0,1.5,0.2,36.540740740740745,25.13953488372093,45.4
0.52,3.2,53.0,42.71818181818182,32.0,16.0,4.8,0.8,36.540740740740745,25.13953488372093,41.4
